district,year,loss_ha
Isoka,2010,711.6869032842179
Kaputa,2010,8145.5684899507405
Kasama,2010,1789.7255523562924
Luwingu,2010,2580.089048160568
Mbala,2010,828.829275620165
Mpika,2010,1817.5973021802715
Mporokoso,2010,2172.869506480449
Mpulungu,2010,1334.1839067443848
Mungwi,2010,1701.0500992159493
Nakonde,2010,188.13679913887773
Choma,2010,78.52318961251052
Gwembe,2010,43.29560128173828
Itezhi-tezhi,2010,652.9191692347628
Kalomo,2010,100.25048728027343
Kazungula,2010,69.23036966871075
Livingstone,2010,0.17038011474609374
Mazabuka,2010,34.145079528808594
Monze,2010,36.86156011359719
Namwala,2010,60.78550147894167
Siavonga,2010,55.54550165201824
Sinazongwe,2010,49.945412255859374
Kaoma,2010,2525.821103346761
Mongu,2010,636.7934390292538
Sesheke,2010,468.50347605772726
Chavuma,2010,1153.4149523628985
Zambezi,2010,7014.223679273251
Kalabo,2010,501.25273219010893
Lukulu,2010,5568.22184148514
Senanga,2010,293.4324149438477
Shang'ombo,2010,849.8163105519016
Chibombo,2011,145.193981688017
Kabwe,2011,8.57331846923828
Kapiri-Mposhi,2011,365.09391846145934
Mkushi,2011,1760.5023954339958
Mumbwa,2011,483.18650097735235
Serenje,2011,1517.767550022236
Chililabombwe,2011,125.7398622750316
Chingola,2011,167.0091512246764
Kalulushi,2011,192.51157660402782
Kitwe,2011,17.53299808959961
Luanshya,2011,10.116980155484068
Lufwanyama,2011,6588.212181188822
Masaiti,2011,135.97079021010455
Mpongwe,2011,588.1153320241172
Mufulira,2011,3.207594439386106
Ndola,2011,105.27396033830229
Chadiza,2011,269.75863689986886
Chama,2011,1172.0347050154862
Chipata,2011,1287.3040066038363
Katete,2011,118.91842098388672
Lundazi,2011,1667.74829070425
Mambwe,2011,170.55501613420074
Nyimba,2011,28.513431647135416
Petauke,2011,0.25983338623046875
Chienge,2011,173.72875422028187
Kawambwa,2011,129.29932987407608
Mansa,2011,13.575713531494142
Milenge,2011,48.782620002345666
Mwense,2011,17.149681994628907
Nchelenge,2011,304.0720109105249
Samfya,2011,206.02611063371248
Chongwe,2011,256.1534305145623
Kafue,2011,99.22576774471507
Luangwa,2011,78.60328789672852
Lusaka,2011,1.20714267578125
Kabompo,2011,2116.9915268815103
Kasempa,2011,5900.596055981229
Mufumbwe,2011,2234.2664386977012
Mwinilunga,2011,7698.903075308765
Solwezi,2011,10403.245344895739
Chilubi,2011,26.675389535031787
Chinsali,2011,18.441722821044923
Isoka,2011,500.0976341486912
Kaputa,2011,611.761697281566
Kasama,2011,1268.711846166705
Luwingu,2011,475.2117325217572
Mbala,2011,518.8005900426527
Mpika,2011,607.476765293591
Mporokoso,2011,1549.3706945151894
Mpulungu,2011,1702.6804696221564
Mungwi,2011,178.69302611517216
Nakonde,2011,1.4108457641601562
Choma,2011,66.53686462402344
Gwembe,2011,15.769364862611061
Itezhi-tezhi,2011,41.13780971679687
Kalomo,2011,12.123968505859375
Kazungula,2011,21.22719183959961
Livingstone,2011,0.0
Mazabuka,2011,22.53502420043945
Monze,2011,20.359753454039332
Namwala,2011,0.5163278686523437
Siavonga,2011,98.44096055585076
Sinazongwe,2011,15.898770965576173
Kaoma,2011,2371.923197578436
Mongu,2011,139.8362025390625
Sesheke,2011,462.7709103942871
Chavuma,2011,220.1757652694164
Zambezi,2011,693.4535765127864
Kalabo,2011,671.4758698267559
Lukulu,2011,556.126378167198
Senanga,2011,164.36600769469018
Shang'ombo,2011,471.11312950145043
Chibombo,2012,217.78861639801627
Kabwe,2012,96.22890534667968
Kapiri-Mposhi,2012,1448.7080159813736
Mkushi,2012,7449.741346194254
Mumbwa,2012,1173.7938255630077
Serenje,2012,2759.889953619097
Chililabombwe,2012,1825.2220023076316
Chingola,2012,814.2709671357038
Kalulushi,2012,2029.3815137040444
Kitwe,2012,3093.9561734634453
Luanshya,2012,1589.7438130959424
