,district,year,total_pop,urban_pop,pct_urban
811,Luano,2008,26153.873046875,4.080381393432617,0.00015601442226623343
812,Mkushi,2008,123203.8359375,224.80223083496094,0.001824636620478284
813,Mumbwa,2008,171581.8125,4125.49462890625,0.024043892349640786
814,Ngabwe,2008,51452.4921875,0.0,0.0
815,Serenje,2008,85989.40625,404.04632568359375,0.004698791901282535
816,Chililabombwe,2008,87447.5234375,14845.72265625,0.1697672166423381
817,Chingola,2008,215123.875,88750.9765625,0.41255753952228685
818,Kalulushi,2008,70111.71875,5305.94384765625,0.07567841642245078
819,Kitwe,2008,545734.4375,187339.5625,0.34327971560343395
820,Luanshya,2008,159150.59375,28060.830078125,0.17631621357444668
821,Lufwanyama,2008,75132.578125,162.33779907226562,0.002160684527585092
822,Masaiti,2008,104791.9375,0.0,0.0
823,Mpongwe,2008,89041.09375,0.0,0.0
824,Mufulira,2008,140357.25,44287.6328125,0.31553505652540215
825,Ndola,2008,449739.875,160542.375,0.35696718019499607
826,Chadiza,2008,71330.296875,550.741455078125,0.007721003265179877
827,Chasefu,2008,93711.9921875,0.0,0.0
828,Chipangali,2008,116622.0546875,0.0,0.0
829,Chipata,2008,228647.234375,6429.87158203125,0.028121361710790427
830,Kasenengwa,2008,111066.7734375,219.38858032226562,0.001975285438950119
831,Katete,2008,158303.640625,924.61083984375,0.005840742740933094
832,Lumezi,2008,107364.515625,0.0,0.0
833,Lundazi,2008,103572.390625,0.0,0.0
834,Mambwe,2008,68381.46875,0.0,0.0
835,Nyimba,2008,79521.3125,0.0,0.0
836,Petauke,2008,226491.125,152.66549682617188,0.000674046264842262
837,Sinda,2008,159355.515625,260.3242492675781,0.0016336067706635312
838,Vubwi,2008,28434.908203125,0.0,0.0
839,Chembe,2008,23333.38671875,0.0,0.0
840,Chiengi,2008,103217.0546875,2483.4111328125,0.024060085228466137
841,Chifunabuli,2008,82550.2890625,629.0636596679688,0.007620368951000228
842,Chipili,2008,30789.947265625,24.964885711669922,0.0008108128765631767
843,Kawambwa,2008,87635.203125,2603.286376953125,0.029705943320972077
844,Lunga,2008,25712.810546875,0.0,0.0
845,Mansa,2008,172068.046875,0.0,0.0
846,Milengi,2008,58334.4140625,0.0,0.0
847,Mwansabombwe,2008,48655.046875,726.9258422851562,0.014940399587995593
848,Mwense,2008,87910.625,1015.5795288085938,0.011552409379510084
849,Nchelenge,2008,152056.375,1687.462158203125,0.011097608753352991
850,Samfya,2008,87067.703125,0.0,0.0
851,Chilanga,2008,179200.34375,1357.3453369140625,0.007574457216486576
852,Chirundu,2008,36002.91796875,0.0,0.0
853,Chongwe,2008,175841.953125,36151.796875,0.20559255759233366
854,Kafue,2008,111440.9140625,7381.69482421875,0.06623864212096138
855,Luangwa,2008,23282.625,105.90870666503906,0.004548830154032849
856,Lusaka,2008,1392681.75,901172.0625,0.6470768088258498
857,Rufunsa,2008,50761.93359375,4.867645740509033,9.589165336894015e-05
858,Shibuyunji,2008,50564.23046875,0.0,0.0
859,Chama,2008,96492.9453125,0.0,0.0
860,Chinsali,2008,90555.21875,0.0,0.0
861,Isoka,2008,70019.4609375,0.0,0.0
862,Kanchibiya,2008,57086.015625,35.032081604003906,0.0006136718637736228
863,Lavushimanda,2008,34409.88671875,5.42879056930542,0.00015776833599243626
864,Mafinga,2008,65838.9921875,0.0,0.0
865,Mpika,2008,107203.0078125,1334.475830078125,0.012448119295422638
866,Nakonde,2008,108780.421875,2109.309814453125,0.01939052798376661
867,Shiwamg'andu,2008,59930.14453125,0.0,0.0
868,Chavuma,2008,33919.46875,100.18614196777344,0.002953647143066574
869,Ikelenge,2008,30760.369140625,66.65664672851562,0.00216696511097725
870,Kabompo,2008,42062.125,0.0,0.0
871,Kalumbila,2008,62493.4765625,0.0,0.0
872,Kasempa,2008,69708.1484375,197.54417419433594,0.002833874928860765
873,Manyinga,2008,47049.296875,0.0,0.0
874,Mufumbwe,2008,56103.05078125,2.8273353576660156,5.0395394159401564e-05
875,Mushindano,2008,24336.240234375,0.0,0.0
876,Mwinilunga,2008,100393.7890625,345.111328125,0.0034375764810525428
877,Solwezi,2008,158161.046875,8952.3876953125,0.05660298709572827
878,Zambezi,2008,79201.828125,26.53635597229004,0.0003350472659596838
879,Chilubi,2008,88621.15625,69.78007507324219,0.0007873974796310806
880,Kaputa,2008,63792.4921875,1161.02880859375,0.018200085445497786
881,Kasama,2008,231040.15625,831.3734741210938,0.0035983938360113266
882,Lunte District,2008,57564.015625,59.73940658569336,0.0010377908131855309
883,Lupososhi,2008,47927.4296875,22.38583755493164,0.00046707778199026
884,Luwingu,2008,60835.48046875,0.0,0.0
885,Mbala,2008,110274.8203125,1309.0880126953125,0.011871141653058973
886,Mporokoso,2008,40767.78515625,92.84828186035156,0.0022774914434152732
887,Mpulungu,2008,97737.953125,20.043554306030273,0.00020507442262880185
888,Mungwi,2008,142008.671875,0.0,0.0
889,Nsama,2008,54068.05859375,122.78730010986328,0.002270976678346222
890,Senga Hill,2008,85981.8671875,20.818214416503906,0.00024212331154783816
891,Chikankanta,2008,68782.625,0.0,0.0
892,Choma,2008,194558.609375,8558.4443359375,0.04398902913333233
893,Gwembe,2008,49948.328125,0.0,0.0
894,Kalomo,2008,166095.390625,1120.8372802734375,0.006748154033991198
895,Kazungula,2008,103017.1796875,0.0,0.0
896,Livingstone,2008,139382.25,22359.076171875,0.1604155204258433
897,Mazabuka,2008,164700.34375,5270.4228515625,0.03200007195833494
898,Monze,2008,196348.265625,7004.3427734375,0.035673056500610485
899,Namwala,2008,98421.953125,98.54806518554688,0.0010012813407633428
900,Pemba,2008,53262.265625,0.0,0.0
901,Siavonga,2008,46094.59765625,0.0,0.0
902,Sinazongwe,2008,103568.203125,0.0,0.0
903,Zimba,2008,71477.3515625,0.0,0.0
904,Kalabo,2008,88378.1171875,0.0,0.0
905,Kaoma,2008,102429.5,347.1374206542969,0.0033890375395203226
906,Limulunga,2008,49474.37890625,1789.948974609375,0.036179311679711744
907,Luampa,2008,50156.14453125,44.73816680908203,0.0008919777871125586
908,Lukulu,2008,55112.21875,3.366122245788574,6.107760351761513e-05
909,Mitete,2008,27445.076171875,0.0,0.0
910,Mongu,2008,142787.734375,13142.9716796875,0.09204552293805873
911,Mulobezi,2008,27725.4296875,9.462167739868164,0.0003412811937098374
912,Mwandi,2008,31681.833984375,0.0,0.0
913,Nalolo,2008,53135.3671875,123.96788787841797,0.00233305789420763
914,Nkeyema,2008,40202.81640625,0.0,0.0
915,Senanga,2008,69632.3359375,20.507755279541016,0.00029451482566875527
916,Sesheke,2008,37194.12109375,0.0,0.0
917,Shang'ombo,2008,37404.1875,0.0,0.0
918,Sikongo,2008,42259.046875,5.228968143463135,0.00012373606434925384
919,Sioma,2008,52860.12109375,94.76347351074219,0.0017927214609038552
920,Chibombo,2009,356265.375,19888.48046875,0.055824904311147276
921,Chisamba,2009,110297.828125,10.009754180908203,9.075205152330105e-05
922,Chitambo,2009,80781.90625,0.0,0.0
923,Itezhi-tezhi,2009,73931.546875,63.53618621826172,0.0008593920850281373
924,Kabwe,2009,208184.171875,40302.90625,0.19359255743130688
925,Kapiri Mposhi,2009,195994.578125,3558.53515625,0.018156293864315283
926,Luano,2009,27101.103515625,4.698462963104248,0.00017336795752229697
927,Mkushi,2009,128034.390625,627.411376953125,0.004900334776386374
928,Mumbwa,2009,176861.8125,4129.89892578125,0.023350992887632257
