district,year,mean_start_day
Kasempa,2014,323.05283018867925
Manyinga,2014,323.19354838709677
Mufumbwe,2014,322.39461883408075
Mushindano,2014,323.94736842105266
Mwinilunga,2014,322.4343891402715
Solwezi,2014,323.4761904761905
Zambezi,2014,313.6923076923077
Chilubi,2014,326.3709677419355
Kaputa,2014,323.0967741935484
Kasama,2014,327.671875
Lunte District,2014,327.1684210526316
Lupososhi,2014,325.0
Luwingu,2014,326.12280701754383
Mbala,2014,326.3421052631579
Mporokoso,2014,326.78723404255317
Mpulungu,2014,326.2032520325203
Mungwi,2014,328.1304347826087
Nsama,2014,324.5934065934066
Senga Hill,2014,327.8965517241379
Chikankanta,2014,310.0
Choma,2014,253.6271186440678
Gwembe,2014,311.8125
Kalomo,2014,193.9
Kazungula,2014,174.22321428571428
Livingstone,2014,148.55555555555554
Mazabuka,2014,320.54347826086956
Monze,2014,320.15
Namwala,2014,324.9848484848485
Pemba,2014,296.4
Siavonga,2014,314.95652173913044
Sinazongwe,2014,39.98360655737705
Zimba,2014,34.04477611940298
Kalabo,2014,307.0
Kaoma,2014,311.22727272727275
Limulunga,2014,307.0
Luampa,2014,307.0079365079365
Lukulu,2014,308.37606837606836
Mitete,2014,306.92105263157896
Mongu,2014,307.0
Mulobezi,2014,306.94666666666666
Mwandi,2014,226.35064935064935
Nalolo,2014,307.0
Nkeyema,2014,308.8666666666667
Senanga,2014,306.69465648854964
Sesheke,2014,303.0575539568345
Shang'ombo,2014,307.02061855670104
Sikongo,2014,307.0
Sioma,2014,306.74
Chibombo,2015,323.0
Chisamba,2015,323.0
Chitambo,2015,325.14084507042253
Itezhi-tezhi,2015,322.74747474747477
Kabwe,2015,323.0
Kapiri Mposhi,2015,323.0
Luano,2015,323.1111111111111
Mkushi,2015,323.01
Mumbwa,2015,322.56540084388183
Ngabwe,2015,323.0
Serenje,2015,323.9555555555556
Chililabombwe,2015,323.75
Chingola,2015,323.7142857142857
Kalulushi,2015,323.0
Kitwe,2015,323.0
Luanshya,2015,323.0
Lufwanyama,2015,323.4651162790698
Masaiti,2015,323.0
Mpongwe,2015,323.0267857142857
Mufulira,2015,323.0
Ndola,2015,323.0
Chadiza,2015,326.0
Chasefu,2015,350.84615384615387
Chipangali,2015,326.0
Chipata,2015,326.0
Kasenengwa,2015,326.0
Katete,2015,326.0
Lumezi,2015,335.9918032786885
Lundazi,2015,350.6470588235294
Mambwe,2015,326.0
Nyimba,2015,324.48818897637796
Petauke,2015,325.95454545454544
Sinda,2015,326.0
Vubwi,2015,326.1818181818182
Chembe,2015,324.0
Chiengi,2015,324.0
Chifunabuli,2015,324.94594594594594
Chipili,2015,324.49056603773585
Kawambwa,2015,324.01063829787233
Lunga,2015,325.0
Mansa,2015,324.19565217391306
Milengi,2015,323.6
Mwansabombwe,2015,324.3125
Mwense,2015,325.0
Nchelenge,2015,324.0
Samfya,2015,324.65
Chilanga,2015,323.0
Chirundu,2015,323.0
Chongwe,2015,323.0
Kafue,2015,323.0
Luangwa,2015,323.6875
Lusaka,2015,323.0
Rufunsa,2015,323.09565217391304
Shibuyunji,2015,323.0
Chama,2015,332.9292452830189
Chinsali,2015,325.93589743589746
Isoka,2015,326.0
Kanchibiya,2015,325.97087378640776
Lavushimanda,2015,325.87861271676303
Mafinga,2015,333.6170212765957
Mpika,2015,326.7669902912621
Nakonde,2015,325.70588235294116
Shiwamg'andu,2015,325.8807339449541
Chavuma,2015,309.6296296296296
Ikelenge,2015,300.7916666666667
Kabompo,2015,323.32941176470587
Kalumbila,2015,322.8471337579618
Kasempa,2015,323.59622641509435
Manyinga,2015,321.7956989247312
Mufumbwe,2015,323.76233183856505
Mushindano,2015,324.9824561403509
Mwinilunga,2015,314.33031674208144
Solwezi,2015,324.8095238095238
Zambezi,2015,317.9230769230769
Chilubi,2015,325.0
Kaputa,2015,324.0
Kasama,2015,324.671875
Lunte District,2015,324.22105263157897
Lupososhi,2015,324.6521739130435
Luwingu,2015,324.859649122807
Mbala,2015,324.10526315789474
Mporokoso,2015,324.0
Mpulungu,2015,324.0894308943089
Mungwi,2015,324.9304347826087
Nsama,2015,324.27472527472526
Senga Hill,2015,324.63793103448273
Chikankanta,2015,323.0
Choma,2015,323.20338983050846
Gwembe,2015,324.7291666666667
Kalomo,2015,323.12
Kazungula,2015,322.42857142857144
Livingstone,2015,323.0
Mazabuka,2015,323.0
Monze,2015,323.0
Namwala,2015,323.0
Pemba,2015,323.24
Siavonga,2015,323.5217391304348
Sinazongwe,2015,325.8524590163934
Zimba,2015,323.7761194029851
Kalabo,2015,323.08474576271186
Kaoma,2015,324.6545454545454
Limulunga,2015,325.0
Luampa,2015,323.3174603174603
Lukulu,2015,324.5128205128205
Mitete,2015,319.0263157894737
Mongu,2015,324.68
Mulobezi,2015,322.1
Mwandi,2015,321.3246753246753
Nalolo,2015,324.6949152542373
Nkeyema,2015,322.3777777777778
Senanga,2015,323.2290076335878
Sesheke,2015,321.55395683453236
Shang'ombo,2015,320.4639175257732
Sikongo,2015,320.79347826086956
Sioma,2015,321.1
Chibombo,2016,326.3272727272727
Chisamba,2016,327.6825396825397
Chitambo,2016,327.34507042253523
Itezhi-tezhi,2016,325.35858585858585
Kabwe,2016,327.05555555555554
Kapiri Mposhi,2016,326.70642201834863
Luano,2016,328.1709401709402
Mkushi,2016,327.2
Mumbwa,2016,324.71729957805906
Ngabwe,2016,323.925
Serenje,2016,327.45185185185187
Chililabombwe,2016,322.0
Chingola,2016,322.04761904761904
Kalulushi,2016,322.3333333333333
Kitwe,2016,323.0
Luanshya,2016,323.77777777777777
Lufwanyama,2016,322.14728682170545
Masaiti,2016,325.6818181818182
Mpongwe,2016,323.63392857142856
Mufulira,2016,322.75
Ndola,2016,324.7692307692308
Chadiza,2016,330.0
Chasefu,2016,331.4230769230769
Chipangali,2016,330.61290322580646
Chipata,2016,330.0
Kasenengwa,2016,330.0
Katete,2016,329.8666666666667
Lumezi,2016,330.9918032786885
Lundazi,2016,331.0
Mambwe,2016,330.0422535211268
Nyimba,2016,328.53543307086613
Petauke,2016,329.1818181818182
Sinda,2016,329.1212121212121
