district,year,forest_cover_ha,loss_m2,percent_loss_annual
Nyimba,2004,338578.18191074615,2055641.855855306,0.06067710979471822
Nyimba,2005,337165.8865140132,14122953.967328958,0.4171253412617108
Nyimba,2006,337102.98925784306,628972.5617019952,0.01865469155865666
Nyimba,2007,336691.75112950127,4112381.2834175862,0.12199183675206485
Nyimba,2008,336427.0740906884,2646770.388129261,0.07861108504292512
Nyimba,2009,335587.09981059894,8399742.800894225,0.24967499490335202
Nyimba,2010,335154.81553950417,4322842.710947313,0.12881432907841422
Nyimba,2011,335126.302107857,285134.31647135416,0.00850754049326037
Nyimba,2012,334937.4499240783,1888521.8377872242,0.056352540099327164
Nyimba,2013,334701.50005949877,2359498.6457959944,0.07044594882808214
Nyimba,2014,334291.8153287261,4096847.3077265723,0.12240301603065089
Nyimba,2015,334192.7600028718,990553.258543007,0.029631394282535622
Nyimba,2016,333788.62481374876,4041351.8912305646,0.12092876851059958
Nyimba,2017,332847.4011136624,9412237.000863347,0.2819819580764712
Nyimba,2018,332541.5174481862,3058836.6547624175,0.09189906979979305
Nyimba,2019,332316.6596089133,2248578.3927286784,0.06761797474142557
Nyimba,2020,332029.9749832597,2866846.2565360274,0.0862685084735106
Nyimba,2021,331198.28715492703,8316878.283326392,0.2504857666463913
Nyimba,2022,330891.473142261,3068140.126660156,0.09263756020649196
Petauke,2001,134840.97040306052,3233498.8750775508,0.23922725081044804
Petauke,2002,134728.00567787766,1129647.2518286612,0.08377626239650832
Petauke,2003,134468.16180445597,2598438.7342170263,0.1928655234776989
Petauke,2004,134324.3567955658,1438050.088901415,0.10694353738490395
Petauke,2005,133157.9669039908,11663898.915750181,0.8683383411619074
Petauke,2006,133150.40614951082,75607.54479980469,0.005678033883944701
Petauke,2007,132918.51282713035,2318933.2238046685,0.17415892980460038
Petauke,2008,132467.33140763233,4511814.194980037,0.3394421212677847
Petauke,2009,130988.87144828126,14784599.593510646,1.1160940162684372
Petauke,2010,130705.58467050247,2832867.77778799,0.2162678208054109
Petauke,2011,130705.32483711625,2598.3338623046875,0.00019879287245872955
Petauke,2012,130472.67066596184,2326541.711544022,0.1779989999981513
Petauke,2013,130279.54688637199,1931237.7958984375,0.14801856864284035
Petauke,2014,129978.19525696573,3013516.294062596,0.23131154245500585
