district,season_year,mean_growing_spei,median_growing_spei,n_months,province,province_avg_start_date,province_avg_end_date
Shang'ombo,2006,0.6311618983745575,0.6569441556930542,5,Western,November 07,April 13
Shang'ombo,2007,1.0214616358280182,0.9806653261184692,6,Western,November 07,April 13
Shang'ombo,2008,1.4703097343444824,1.50908362865448,6,Western,November 07,April 13
Shang'ombo,2009,1.7398263216018677,1.7216041684150696,6,Western,November 07,April 13
Shang'ombo,2010,1.8590020418167115,1.81626570224762,5,Western,November 07,April 13
Shang'ombo,2011,1.8020694553852081,1.753734290599823,4,Western,November 07,April 13
Shang'ombo,2012,1.5692675709724426,1.619228720664978,4,Western,November 07,April 13
Shang'ombo,2013,1.321583914756775,1.2947736978530884,5,Western,November 07,April 13
Shang'ombo,2014,0.5673053277035555,0.6513506770133972,6,Western,November 07,April 13
Shang'ombo,2015,-0.6701059564948082,-0.7447239458560944,4,Western,November 07,April 13
Shang'ombo,2016,-0.16512952744960785,-0.1538897156715393,5,Western,November 07,April 13
Shang'ombo,2017,0.23379189968109126,0.2449709475040435,5,Western,November 07,April 13
Shang'ombo,2018,0.39776583313941954,0.4287797808647156,5,Western,November 07,April 13
Shang'ombo,2019,-0.30742815881967545,-0.3090745806694031,6,Western,November 07,April 13
Shang'ombo,2020,-0.5257315654307604,-0.5654028654098511,5,Western,November 07,April 13
Shang'ombo,2021,-0.7619333744049073,-0.6528617143630981,5,Western,November 07,April 13
Shibuyunji,2000,0.8481281598409017,0.8440647721290588,6,Lusaka,November 07,March 31
Shibuyunji,2001,0.766547417640686,0.7186293601989746,5,Lusaka,November 07,March 31
Shibuyunji,2002,0.5275897793471813,0.5237871706485748,4,Lusaka,November 07,March 31
Shibuyunji,2003,0.7889636754989624,0.8068249821662903,5,Lusaka,November 07,March 31
Shibuyunji,2004,-0.030232414603233337,-0.2198691219091415,5,Lusaka,November 07,March 31
Shibuyunji,2005,-0.5916275382041931,-0.7487374544143677,3,Lusaka,November 07,March 31
Shibuyunji,2006,0.47520641684532167,0.3316520750522613,5,Lusaka,November 07,March 31
Shibuyunji,2007,1.0315436542034149,1.0498403310775757,5,Lusaka,November 07,March 31
Shibuyunji,2008,1.2934269070625306,1.2752374410629272,5,Lusaka,November 07,March 31
